,수치,비율,시도,YEAR,전년대비증가율
휴업,862.0,0.23156356446708146,경기,2019,0.04063683330834883
총합,372252.0,100.0,경기,2019,0.0
관심,1292.0,2.0259675092517093,경남,2019,-0.5073530697929947
관찰1,1511.0,2.3693784105877187,경남,2019,0.17245219414744062
관찰2,4324.0,6.78040519350185,경남,2019,0.5690666309101786
관찰3,1553.0,2.4352380355014738,경남,2019,0.38817471045842833
부도,22.0,0.03449789876434799,경남,2019,-0.0356506886981863
정상,48460.0,75.9894624600138,경남,2019,-0.22060067371491243
폐업,6471.0,10.14708649564072,경남,2019,-0.3927387706050567
휴업,139.0,0.21796399673838046,경남,2019,0.02664966729510515
총합,63772.0,100.0,경남,2019,0.0
관심,1201.0,1.939442874444893,경북,2019,-0.4341812933648157
관찰1,2034.0,3.2846184901090028,경북,2019,-0.0826157944582584
관찰2,5155.0,8.324586192975374,경북,2019,0.6215986716478845
관찰3,1358.0,2.1929753734356074,경북,2019,0.11542694748799764
부도,0.0,0.0,경북,2019,-0.010036465825833863
정상,46877.0,75.69963665724667,경북,2019,-0.29815532027164693
폐업,5218.0,8.426322163907955,경북,2019,0.09772827277015494
휴업,82.0,0.1324182478805006,경북,2019,-0.00976501798547913
총합,61925.0,100.0,경북,2019,0.0
관심,831.0,1.549390312115449,광주,2019,-0.5594680845961617
관찰1,1666.0,3.1062385800052206,광주,2019,-0.039177333734131015
관찰2,4728.0,8.815303725248908,광주,2019,0.6777314938702066
관찰3,1056.0,1.9689003244210763,광주,2019,0.167831995026132
부도,0.0,0.0,광주,2019,0.0
정상,40594.0,75.68706417570944,광주,2019,0.10573809695489444
폐업,4648.0,8.666144609762465,광주,2019,-0.38089762697774
휴업,111.0,0.20695827273744266,광주,2019,0.028241459456797707
총합,53634.0,100.0,광주,2019,0.0
관심,865.0,1.6114008941877793,대구,2019,-0.01911778441672829
관찰1,1795.0,3.343889716840537,대구,2019,-0.33587255546573047
관찰2,4578.0,8.528315946348734,대구,2019,0.5821905990193104
관찰3,1089.0,2.028688524590164,대구,2019,0.40974749340770034
부도,9.0,0.01676602086438152,대구,2019,-0.039192608342163704
정상,39666.0,73.89344262295083,대구,2019,0.1554061919536025
폐업,5598.0,10.428464977645307,대구,2019,-0.7748385110857825
휴업,80.0,0.14903129657228018,대구,2019,0.021677174929797927
총합,53680.0,100.0,대구,2019,0.0
관심,695.0,1.6602169031579954,대전,2019,-0.6799743167448928
관찰1,1468.0,3.5067603076776073,대전,2019,-0.23003700923684445
관찰2,4077.0,9.739142898093736,대전,2019,-0.16975233142020585
관찰3,919.0,2.1953083942477662,대전,2019,0.5008597783394717
부도,0.0,0.0,대전,2019,0.0
정상,30120.0,71.95069514117816,대전,2019,0.7913619079599528
폐업,4485.0,10.713773828292963,대전,2019,-0.16123242890281198
휴업,98.0,0.2341025273517749,대전,2019,-0.05122559999467352
총합,41862.0,100.0,대전,2019,0.0
관심,1581.0,1.9827683509537606,부산,2019,-0.1997895596702961
관찰1,2273.0,2.8506214179113836,부산,2019,0.11028412543812394
관찰2,5549.0,6.959128133739669,부산,2019,0.25921344117454037
관찰3,1987.0,2.491942260180343,부산,2019,0.22145207053535287
부도,30.0,0.0376236878738854,부산,2019,0.002188291850524285
정상,60025.0,75.27872882099904,부산,2019,-0.25378643590758543
폐업,8155.0,10.22737248705118,부산,2019,-0.13944948289435466
휴업,137.0,0.17181484129074331,부산,2019,-0.00011245052630504127
총합,79737.0,100.0,부산,2019,0.0
관심,8251.0,2.0594188899455133,서울,2019,-0.3540313495916827
관찰1,14026.0,3.5008373955127583,서울,2019,0.047627855346696446
관찰2,28620.0,7.143445476941047,서울,2019,0.08594363683051132
관찰3,9067.0,2.26308945281008,서울,2019,0.1474142936566598
부도,85.0,0.021215683631725685,서울,2019,-0.018814791181357822
정상,291487.0,72.75407029130382,서울,2019,0.40505620315929036
폐업,48017.0,11.98486448170085,서울,2019,-0.3349660989992955
휴업,1094.0,0.27305832815421055,서울,2019,0.02177025077917666
총합,400647.0,100.0,서울,2019,0.0
