시도,업종코드_10차_변형,기업수,증가율,설립일자
경남,종합 건설업,31,0.0,2018
경남,창고 및 운송관련 서비스업,10,0.0,2018
경남,"창작, 예술 및 여가관련 서비스업",2,0.0,2018
경남,출판업,15,0.0,2018
경남,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",1,0.0,2018
경남,"코크스, 연탄 및 석유정제품 제조업",3,0.0,2018
경남,"펄프, 종이 및 종이제품 제조업",3,0.0,2018
경남,"폐기물 수집, 운반, 처리 및 원료 재생업",7,0.0,2018
경남,협회 및 단체,10,0.0,2018
경남,화학 물질 및 화학제품 제조업; 의약품 제외,10,0.0,2018
경북,1차 금속 제조업,4,0.0,2018
경북,가구 제조업,3,0.0,2018
경북,"가죽, 가방 및 신발 제조업",2,0.0,2018
경북,"건축 기술, 엔지니어링 및 기타 과학기술 서비스업",16,0.0,2018
경북,고무 및 플라스틱제품 제조업,11,0.0,2018
경북,교육 서비스업,7,0.0,2018
경북,금속 가공제품 제조업; 기계 및 가구 제외,19,0.0,2018
경북,금융 및 보험관련 서비스업,1,0.0,2018
경북,기타 기계 및 장비 제조업,32,0.0,2018
경북,기타 운송장비 제조업,2,0.0,2018
경북,"기타 전문, 과학 및 기술 서비스업",3,0.0,2018
경북,기타 제품 제조업,3,0.0,2018
경북,농업,53,0.0,2018
경북,도매 및 상품 중개업,158,0.0,2018
경북,목재 및 나무제품 제조업; 가구 제외,2,0.0,2018
경북,부동산업,48,0.0,2018
경북,비금속 광물제품 제조업,12,0.0,2018
경북,비금속광물 광업; 연료용 제외,5,0.0,2018
경북,사업 지원 서비스업,37,0.0,2018
경북,사업시설 관리 및 조경 서비스업,15,0.0,2018
경북,사회복지 서비스업,4,0.0,2018
경북,산업용 기계 및 장비 수리업,1,0.0,2018
경북,섬유제품 제조업; 의복 제외,4,0.0,2018
경북,소매업; 자동차 제외,35,0.0,2018
경북,수상 운송업,1,0.0,2018
경북,숙박업,2,0.0,2018
경북,스포츠 및 오락관련 서비스업,3,0.0,2018
경북,식료품 제조업,37,0.0,2018
경북,어업,2,0.0,2018
경북,연구개발업,3,0.0,2018
경북,영상ㆍ오디오 기록물 제작 및 배급업,4,0.0,2018
경북,우편 및 통신업,1,0.0,2018
경북,육상 운송 및 파이프라인 운송업,10,0.0,2018
경북,음료 제조업,1,0.0,2018
경북,음식점 및 주점업,17,0.0,2018
경북,"의료, 정밀, 광학 기기 및 시계 제조업",6,0.0,2018
경북,의료용 물질 및 의약품 제조업,1,0.0,2018
경북,"의복, 의복 액세서리 및 모피제품 제조업",2,0.0,2018
경북,인쇄 및 기록매체 복제업,1,0.0,2018
경북,임대업; 부동산 제외,4,0.0,2018
경북,임업,5,0.0,2018
경북,자동차 및 부품 판매업,10,0.0,2018
경북,자동차 및 트레일러 제조업,33,0.0,2018
경북,"전기, 가스, 증기 및 공기 조절 공급업",114,0.0,2018
경북,전기장비 제조업,7,0.0,2018
경북,전문 서비스업,34,0.0,2018
경북,전문직별 공사업,60,0.0,2018
경북,"전자 부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",33,0.0,2018
경북,정보서비스업,6,0.0,2018
경북,종합 건설업,37,0.0,2018
경북,창고 및 운송관련 서비스업,7,0.0,2018
경북,"창작, 예술 및 여가관련 서비스업",3,0.0,2018
경북,출판업,19,0.0,2018
경북,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",1,0.0,2018
경북,"펄프, 종이 및 종이제품 제조업",4,0.0,2018
경북,"폐기물 수집, 운반, 처리 및 원료 재생업",13,0.0,2018
경북,협회 및 단체,8,0.0,2018
경북,화학 물질 및 화학제품 제조업; 의약품 제외,21,0.0,2018
광주,1차 금속 제조업,1,0.0,2018
광주,가구 제조업,1,0.0,2018
광주,"가죽, 가방 및 신발 제조업",1,0.0,2018
광주,개인 및 소비용품 수리업,2,0.0,2018
광주,"건축 기술, 엔지니어링 및 기타 과학기술 서비스업",4,0.0,2018
광주,고무 및 플라스틱제품 제조업,5,0.0,2018
광주,교육 서비스업,10,0.0,2018
광주,금속 가공제품 제조업; 기계 및 가구 제외,11,0.0,2018
광주,금융 및 보험관련 서비스업,8,0.0,2018
광주,금융업,5,0.0,2018
광주,기타 개인 서비스업,3,0.0,2018
광주,기타 기계 및 장비 제조업,10,0.0,2018
광주,기타 운송장비 제조업,2,0.0,2018
광주,"기타 전문, 과학 및 기술 서비스업",19,0.0,2018
광주,기타 제품 제조업,4,0.0,2018
광주,농업,5,0.0,2018
광주,도매 및 상품 중개업,239,0.0,2018
광주,목재 및 나무제품 제조업; 가구 제외,2,0.0,2018
광주,방송업,1,0.0,2018
광주,부동산업,100,0.0,2018
광주,비금속 광물제품 제조업,5,0.0,2018
광주,사업 지원 서비스업,29,0.0,2018
광주,사업시설 관리 및 조경 서비스업,7,0.0,2018
광주,사회복지 서비스업,1,0.0,2018
광주,산업용 기계 및 장비 수리업,1,0.0,2018
광주,섬유제품 제조업; 의복 제외,2,0.0,2018
광주,소매업; 자동차 제외,73,0.0,2018
광주,숙박업,1,0.0,2018
광주,스포츠 및 오락관련 서비스업,3,0.0,2018
광주,식료품 제조업,35,0.0,2018
광주,연구개발업,2,0.0,2018
광주,영상ㆍ오디오 기록물 제작 및 배급업,3,0.0,2018
광주,우편 및 통신업,7,0.0,2018
광주,육상 운송 및 파이프라인 운송업,13,0.0,2018
광주,음식점 및 주점업,17,0.0,2018
광주,"의료, 정밀, 광학 기기 및 시계 제조업",7,0.0,2018
