시도,구군,신설법인수,year
경기,과천시,73,2020
경기,광명시,435,2020
경기,광주시,1139,2020
경기,구리시,357,2020
경기,군포시,404,2020
경기,김포시,2126,2020
경기,남양주시,1839,2020
경기,동두천시,167,2020
경기,부천시,1499,2020
경기,성남시,2393,2020
경기,수원시,1735,2020
경기,시흥시,1309,2020
경기,안산시,2502,2020
경기,안성시,517,2020
경기,안양시,1083,2020
경기,양주시,822,2020
경기,양평군,364,2020
경기,여주시,263,2020
경기,연천군,108,2020
경기,오산시,509,2020
경기,용인시,4946,2020
경기,의왕시,184,2020
경기,의정부시,532,2020
경기,이천시,450,2020
경기,파주시,1796,2020
경기,평택시,1578,2020
경기,포천시,547,2020
경기,하남시,844,2020
경기,화성시,3957,2020
경남,거제시,329,2020
경남,거창군,111,2020
경남,고성군,111,2020
경남,김해시,934,2020
경남,남해군,54,2020
경남,밀양시,161,2020
경남,사천시,137,2020
경남,산청군,70,2020
경남,양산시,522,2020
경남,의령군,55,2020
경남,진주시,422,2020
경남,창녕군,120,2020
경남,창원시,1183,2020
경남,통영시,173,2020
경남,하동군,75,2020
경남,함안군,172,2020
경남,함양군,80,2020
경남,합천군,56,2020
경북,경산시,470,2020
경북,경주시,473,2020
경북,고령군,72,2020
경북,구미시,678,2020
경북,군위군,46,2020
경북,김천시,249,2020
경북,문경시,104,2020
경북,봉화군,72,2020
경북,상주시,113,2020
경북,성주군,151,2020
경북,안동시,245,2020
경북,영덕군,66,2020
경북,영양군,27,2020
경북,영주시,120,2020
경북,영천시,175,2020
경북,예천군,81,2020
경북,울릉군,13,2020
경북,울진군,50,2020
경북,의성군,87,2020
경북,청도군,73,2020
경북,청송군,36,2020
경북,칠곡군,272,2020
경북,포항시,652,2020
광주,광산구,1079,2020
광주,남구,346,2020
광주,동구,430,2020
광주,북구,1245,2020
광주,서구,1084,2020
대구,남구,251,2020
대구,달서구,768,2020
대구,달성군,365,2020
대구,동구,548,2020
대구,북구,557,2020
대구,서구,245,2020
대구,수성구,849,2020
대구,중구,377,2020
대전,대덕구,351,2020
대전,동구,332,2020
대전,서구,1071,2020
대전,유성구,1045,2020
대전,중구,390,2020
부산,강서구,582,2020
부산,금정구,351,2020
부산,기장군,337,2020
